admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Abbottabad,PK20101,Abbottabad,PK201,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 1,332,912 "
Ahmadupr East,PK60305,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK," 1,078,683 "
Ahmedpur Sial,PK61201,Jhang,PK612,Punjab,PK6,Pakistan,PK," 433,517 "
Alai,PK20301,Batagram,PK203,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 180,414 "
Alipur,PK62301,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK," 639,748 "
Alpuri,PK22001,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 380,039 "
Ambar Utman Khel,PK23501,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 62,109 "
Arif Wala,PK62701,Pakpattan,PK627,Punjab,PK6,Pakistan,PK," 854,462 "
Attock,PK60101,Attock,PK601,Punjab,PK6,Pakistan,PK," 434,705 "
Awaran,PK70101,Awaran,PK701,Balochistan,PK7,Pakistan,PK," 48,750 "
Baba Kot,PK72201,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK," 49,459 "
Babuzai,PK22201,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 599,040 "
Badin,PK80101,Badin,PK801,Sindh,PK8,Pakistan,PK," 455,295 "
Badinai,PK71601,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK," 15,301 "
Bahawalnagar,PK60201,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK," 815,143 "
Bahawalpur,PK60301,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK," 1,256,646 "
Bahrain,PK22202,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 99,390 "
Bakrani,PK81001,Larkana,PK810,Sindh,PK8,Pakistan,PK," 229,444 "
Balakot,PK21601,Mansehra,PK216,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 273,089 "
Balnigor,PK71201,Kech,PK712,Balochistan,PK7,Pakistan,PK," 45,065 "
Banda Daud Shah,PK21001,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 155,642 "
Bannu,PK20201,Bannu,PK202,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 958,504 "
Bar Chamarkand,PK23202,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 2,868 "
Bara,PK23301,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 444,403 "
Barang,PK23201,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 76,558 "
Barawal,PK23001,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 76,925 "
Barikot,PK22203,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 184,000 "
Barkhan,PK70201,Barkhan,PK702,Balochistan,PK7,Pakistan,PK," 171,556 "
Barshore,PK72501,Pishin,PK725,Balochistan,PK7,Pakistan,PK," 103,606 "
Batagram,PK20302,Batagram,PK203,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 296,198 "
Bela,PK71801,Las Bela,PK718,Balochistan,PK7,Pakistan,PK," 104,438 "
Besima,PK72901,Washuk,PK729,Balochistan,PK7,Pakistan,PK," 68,036 "
Bettani,PK24201,FR Lakki Marwat,PK242,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 26,359 "
Bhag,PK73201,Lehri,PK732,Balochistan,PK7,Pakistan,PK," 73,619 "
Bhakkar,PK60401,Bhakkar,PK604,Punjab,PK6,Pakistan,PK," 685,059 "
Bhalwal,PK63201,Sargodha,PK632,Punjab,PK6,Pakistan,PK," 357,331 "
Bhiria,PK81301,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK," 424,684 "
Birmal,PK23801,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 104,304 "
Bisham,PK22002,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 105,890 "
Buleda,PK71202,Kech,PK712,Balochistan,PK7,Pakistan,PK," 120,315 "
Bulri Shah Karim,PK82003,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK," 236,913 "
Burewala,PK63601,Vehari,PK636,Punjab,PK6,Pakistan,PK," 1,015,385 "
Central Kurram,PK23401,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 229,356 "
Central Orakzai,PK23701,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 59,122 "
Chachro,PK82101,Tharparkar,PK821,Sindh,PK8,Pakistan,PK," 351,263 "
